name,reason,excerpt
levante,FP: the wind,[calendar2 v0.5] Will aid the *Levante* (Madrid *gremios may
coronel,FP: rank/person,[calendar2 v0.5] Forwards the *despachos* by which the King 
recua,"FP: pack-train, not a ship",[calendar2 v0.5] Handover inventories to Sal: the 16-carpeta
sto domingo,FP: place,"[calendar2 v0.5] [4 docs] ⭐ The King assigns Fages $5,000 as"
sto. domingo,FP: place,[calendar2 v0.5] *Sobre aumento de Marineros* — approves +4 
el filer,FP: garble/junk,[calendar2 v0.5] ⚠ BOUNDED (gap-sampled n101/110/120/125) — 
ross,"FP: the FORT, not a ship",[calendar2 v0.5] Foreigner census / arrivals register (paral
espanola,FP: demonym,[calendar2 v0.5] Foreign-trade customs: goods-sold lists fro
india,FP: person/demonym,[calendar2 v0.5] (cont. Richardson dossier + others) Fr. Alt
junio,FP: month misparse,[calendar2 v0.5] Exotic-origin foreigner declarations: Nicol
juan jose,FP: person,[calendar2 v0.5] Fined the foreigners Lázaro Dana & John [Po
andes,FP: spurious (fund/tax),[calendar2 v0.5] Impuesto de matanza / carne salada: enclose
andes,FP: spurious (fund/tax),[calendar2 v0.5] Ports-of-entry / foreign-commerce regime: M
thomas marshall,FP: person,"[calendar2 v0.5] comprobada la facción de Solís, Fr. Luis An"
ester,FP: person,[calendar2 v0.5] reports the 1828 pay-mutiny: the Monterey m
apolonia,FP: person (vaccination/fund lists),[calendar2 v0.5] dated bundle — (Oct 7) Santiago Argüello's 
cleusa,FP: person,[calendar2 v0.5] on vaccination — 40+ children of both sexes
news,FP: junk parse,"[calendar2 v0.5] THREE brief 1827 markers: (a) 3 Aug, J.B. A"
