garbled_name,vol,span
AfvhiM,III,1825-30
Charles,III,1825-30
ComHe,III,1825-30
Franl'Un,III,1825-30
Pararjon,III,1825-30
Peraviiin,III,1825-30
PorahontciJi,III,1825-30
Poifcifla,III,1825-30
Spy,III,1825-30
Trident,III,1825-30
Washinfjton,III,1825-30
Whafeman,III,1825-30
Wilminfjton,III,1825-30
Balavcfi,III,1831-5
CaJalina,III,1831-5
OencralJackson,III,1831-5
Lfonor,III,1831-5
Mcujruder,III,1831-5
MoreloB,III,1831-5
Pilrjrim,III,1831-5
JRosa,III,1831-5
Feighton,III,1831-5
SterUon,III,1831-5
Tranquilina,III,1831-5
WUmimjUm,III,1831-5
AijantcJio,IV,1841-5
BoUna,IV,1841-5
Brayttnza,IV,1841-5
Bull,IV,1841-5
Columhiw,IV,1841-5
Conrtanlc,IV,1841-5
Drlphos,IV,1841-5
Expadon,IV,1841-5
Ilopnoe.ll,IV,1841-5
Lnijramjf,IV,1841-5
LaUaina,IV,1841-5
Lconidatt,IV,1841-5
MaynoVa,IV,1841-5
Martlta,IV,1841-5
MedkiM,IV,1841-5
Mntkar,IV,1841-5
Niiifa,IV,1841-5
Prwuivera,IV,1841-5
Htfik,IV,1841-5
Ruswll,IV,1841-5
Snnth,IV,1841-5
Soledtul,IV,1841-5
Strrlimj,IV,1841-5
Valleyficid,IV,1841-5
Alford,V,1846-8
ArmcUa,V,1846-8
BamstaJble,V,1846-8
Bowditch,V,1846-8
Charles,V,1846-8
IVandsca,V,1846-8
HaalUio,V,1846-8
Huntress,V,1846-8
MathUde,V,1846-8
PrescoU,V,1846-8
Spy,V,1846-8
Starling,V,1846-8
Sterling,V,1846-8
WhUon,V,1846-8
